"religion"
"Unaffiliated"
"Unaffiliated"
"Catholic Church"
"Evangelical Church"
"Unaffiliated"
"Evangelical Church"
"Islam"
"Catholic Church"
"Catholic Church"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Evangelical Church"
"Unaffiliated"
"Evangelical Church"
"Catholic Church"
"Evangelical Church"
"Other religions"
"Unaffiliated"
"Evangelical Church"
"Islam"
"Unaffiliated"
"Catholic Church"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Evangelical Church"
"Unaffiliated"
"Catholic Church"
"Catholic Church"
"Catholic Church"
"Unaffiliated"
"Evangelical Church"
"Catholic Church"
"Evangelical Church"
"Unaffiliated"
"Evangelical Church"
"Catholic Church"
"Evangelical Church"
"Catholic Church"
"Evangelical Church"
"Catholic Church"
"Catholic Church"
"Evangelical Church"
"Unaffiliated"
"Catholic Church"
"Evangelical Church"
"Evangelical Church"
"Catholic Church"
"Evangelical Church"
"Catholic Church"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Catholic Church"
"Catholic Church"
"Unaffiliated"
"Evangelical Church"
"Unaffiliated"
"Catholic Church"
"Unaffiliated"
"Catholic Church"
"Unaffiliated"
"Catholic Church"
"Evangelical Church"
"Unaffiliated"
"Evangelical Church"
"Unaffiliated"
"Evangelical Church"
"Unaffiliated"
"Unaffiliated"
"Catholic Church"
"Evangelical Church"
"Evangelical Church"
"Unaffiliated"
"Evangelical Church"
"Orthodox Christianity"
"Catholic Church"
"Evangelical Church"
"Unaffiliated"
"Unaffiliated"
"Evangelical Church"
"Unaffiliated"
"Evangelical Church"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Catholic Church"
"Evangelical Church"
"Evangelical Church"
"Evangelical Church"
"Catholic Church"
"Catholic Church"
"Evangelical Church"
"Catholic Church"
"Catholic Church"
"Unaffiliated"
"Unaffiliated"
"Other religions"
"Catholic Church"
"Unaffiliated"
"Unaffiliated"
"Catholic Church"
"Islam"
"Catholic Church"
"Other Christians"
"Evangelical Church"
"Unaffiliated"
"Catholic Church"
"Unaffiliated"
"Unaffiliated"
"Evangelical Church"
"Unaffiliated"
"Catholic Church"
"Catholic Church"
"Other religions"
"Catholic Church"
"Catholic Church"
"Unaffiliated"
"Evangelical Church"
"Catholic Church"
"Catholic Church"
"Unaffiliated"
"Unaffiliated"
"Catholic Church"
"Catholic Church"
"Unaffiliated"
"Unaffiliated"
"Catholic Church"
"Islam"
"Catholic Church"
"Catholic Church"
"Catholic Church"
"Alawites"
"Catholic Church"
"Evangelical Church"
"Catholic Church"
"Unaffiliated"
"Unaffiliated"
"Evangelical Church"
"Catholic Church"
"Unaffiliated"
"Evangelical Church"
"Unaffiliated"
"Evangelical Church"
"Catholic Church"
"Catholic Church"
"Unaffiliated"
"Catholic Church"
"Catholic Church"
"Unaffiliated"
"Catholic Church"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Evangelical Church"
"Catholic Church"
"Evangelical Church"
"Evangelical Church"
"Catholic Church"
"Unaffiliated"
"Unaffiliated"
"Evangelical Church"
"Unaffiliated"
"Catholic Church"
"Evangelical Church"
"Evangelical Church"
"Unaffiliated"
"Unaffiliated"
"Evangelical Church"
"Catholic Church"
"Evangelical Church"
"Catholic Church"
"Evangelical Church"
"Unaffiliated"
"Unaffiliated"
"Evangelical Church"
"Catholic Church"
"Evangelical Church"
"Unaffiliated"
"Evangelical Church"
"Evangelical Church"
"Islam"
"Catholic Church"
"Evangelical Church"
"Unaffiliated"
"Unaffiliated"
"Islam"
"Unaffiliated"
"Catholic Church"
"Unaffiliated"
"Evangelical Church"
"Unaffiliated"
"Evangelical Church"
"Unaffiliated"
"Unaffiliated"
"Catholic Church"
"Unaffiliated"
"Unaffiliated"
"Catholic Church"
"Catholic Church"
"Unaffiliated"
"Unaffiliated"
"Evangelical Church"
"Orthodox Christianity"
"Unaffiliated"
"Evangelical Church"
"Islam"
"Evangelical Church"
"Unaffiliated"
"Catholic Church"
"Orthodox Christianity"
"Orthodox Christianity"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Catholic Church"
"Islam"
"Catholic Church"
"Unaffiliated"
"Unaffiliated"
"Catholic Church"
"Evangelical Church"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Catholic Church"
"Unaffiliated"
"Evangelical Church"
"Evangelical Church"
"Catholic Church"
"Catholic Church"
"Catholic Church"
"Unaffiliated"
"Catholic Church"
"Evangelical Church"
"Unaffiliated"
"Catholic Church"
"Unaffiliated"
"Catholic Church"
"Unaffiliated"
"Catholic Church"
"Islam"
"Evangelical Church"
"Islam"
"Catholic Church"
"Catholic Church"
"Catholic Church"
"Unaffiliated"
"Unaffiliated"
"Catholic Church"
"Unaffiliated"
"Islam"
"Catholic Church"
"Unaffiliated"
"Unaffiliated"
"Evangelical Church"
"Evangelical Church"
"Unaffiliated"
"Unaffiliated"
"Evangelical Church"
"Catholic Church"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Catholic Church"
"Evangelical Church"
"Unaffiliated"
"Catholic Church"
"Evangelical Church"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
"Unaffiliated"
